Postcode,Postcode Status,LSOA code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
N8 9JF,Live,E01002016,Haringey 028A E01002016,13101,4,9397,3,0.163,12399,4,0.101,28160,9,14642,5,13234,5,7673,3,9967,4,6815,3,0.252,5794,2,0.273
N15 3RB,Terminated,E01002084,Haringey 019B E01002084,9491,3,9933,4,0.156,13012,4,0.097,15123,5,16753,6,2230,1,5175,2,8497,3,13597,5,0.155,5259,2,0.285
HA7 1PL,Live,E01002107,Harrow 012A E01002107,28989,9,25841,8,0.051,28393,9,0.038,28759,9,32117,10,22333,7,12919,4,18596,6,28122,9,0.046,20822,7,0.095
RM14 3HS,Live,E01002384,Havering 019D E01002384,28313,9,26306,9,0.049,26101,8,0.046,24870,8,25430,8,17020,6,28486,9,16928,6,22647,7,0.078,27821,9,0.057
RM14 1SF,Live,E01002254,Havering 019B E01002254,32025,10,31843,10,0.023,29086,9,0.036,26401,9,29703,10,22670,7,28336,9,26207,8,29843,10,0.035,32040,10,0.029
UB3 2SE,Live,E01002401,Hillingdon 024B E01002401,9807,3,7650,3,0.185,9282,3,0.123,10594,4,15579,5,9368,3,8221,3,14314,5,10537,4,0.193,6580,3,0.256
TW5 9PD,Live,E01002633,Hounslow 005A E01002633,4802,2,3598,2,0.26,5775,2,0.159,8875,3,8977,3,15771,5,756,1,12110,4,2588,1,0.351,4827,2,0.297
TW4 5JD,Live,E01002650,Hounslow 021B E01002650,11539,4,10398,4,0.151,16040,5,0.081,23066,8,23289,8,11627,4,467,1,11099,4,11254,4,0.184,7087,3,0.247
TW3 4EP,Live,E01002628,Hounslow 011D E01002628,16819,6,13624,5,0.12,21695,7,0.059,24223,8,23355,8,9804,3,5878,2,9592,3,12461,4,0.168,11103,4,0.185
CR4 1BP,Live,E01003433,Merton 019E E01003433,16455,6,12619,4,0.129,16745,6,0.078,20364,7,23385,8,8228,3,15136,5,10663,4,12964,4,0.162,11412,4,0.181
E6 5JG,Live,E01003479,Newham 035A E01003479,7984,3,9917,4,0.156,10776,4,0.112,18005,6,23339,8,3975,2,6,1,13062,4,11963,4,0.174,5615,2,0.277
E12 6ET,Terminated,E01003575,Newham 005B E01003575,8100,3,6952,3,0.195,10617,4,0.113,9966,4,22512,7,11936,4,696,1,11436,4,11652,4,0.178,2578,1,0.369
IG3 8EU,Live,E01003757,Redbridge 020D E01003757,14062,5,10336,4,0.152,13573,5,0.094,18301,6,27678,9,11778,4,6312,2,11808,4,12243,4,0.171,10023,4,0.199
SM5 1RW,Live,E01004127,Sutton 005A E01004127,14552,5,15674,5,0.105,15031,5,0.086,11687,4,16458,6,10776,4,11340,4,11134,4,16973,6,0.121,16111,5,0.131
SM3 8AB,Live,E01030398,Epsom and Ewell 010E E01030398,32007,10,32787,10,0.01,32588,10,0.015,32056,10,32622,10,22920,7,12554,4,26769,9,32811,10,0.006,32705,10,0.018
B19 2EP,Live,E01033628,Birmingham 041F E01033628,707,1,331,1,0.409,672,1,0.282,2410,1,6134,2,8579,3,2719,1,3174,1,2147,1,0.367,84,1,0.678
B26 2RZ,Live,E01009322,Birmingham 069D E01009322,1313,1,1277,1,0.337,1673,1,0.237,2588,1,2677,1,5587,2,4045,2,5086,2,861,1,0.437,1938,1,0.397
B13 0RJ,Live,E01008935,Birmingham 111B E01008935,907,1,696,1,0.371,1417,1,0.246,2541,1,1263,1,4026,2,5524,2,7939,3,449,1,0.478,1550,1,0.418
B13 8QB,Live,E01009186,Birmingham 088D E01009186,11903,4,15149,5,0.108,12701,4,0.099,30394,10,18255,6,2404,1,6052,2,5474,2,17268,6,0.118,16314,5,0.129
B31 4BP,Live,E01009213,Birmingham 124E E01009213,3931,2,5269,2,0.224,3272,1,0.197,5524,2,6934,3,3807,2,6816,3,7852,3,2153,1,0.367,12892,4,0.163
CV1 5LY,Live,E01009638,Coventry 024C E01009638,232,1,81,1,0.475,149,1,0.347,4147,2,971,1,978,1,7610,3,8979,3,284,1,0.507,194,1,0.609
CV4 8DY,Live,E01032533,Coventry 036G E01032533,26824,9,28204,9,0.042,26207,8,0.045,31127,10,26460,9,31803,10,2631,1,28822,9,24433,8,0.067,27873,9,0.056
DY8 1QX,Live,E01009858,Dudley 040C E01009858,19259,6,21102,7,0.072,13611,5,0.094,26976,9,12593,4,18707,6,16934,6,13481,5,31431,10,0.025,17777,6,0.117
B63 4BB,Live,E01009739,Dudley 039C E01009739,12429,4,9967,4,0.156,10799,4,0.112,11394,4,13202,5,20586,7,29656,10,5710,2,6133,2,0.264,16255,5,0.13
B67 7JG,Live,E01010047,Sandwell 023B E01010047,5063,2,5858,2,0.214,6913,3,0.146,4443,2,6545,2,13343,5,16192,5,936,1,9756,3,0.205,3329,2,0.339
B43 7SD,Live,E01009968,Sandwell 006A E01009968,17408,6,17182,6,0.095,18706,6,0.07,25399,8,12669,4,19935,7,13342,5,5213,2,13755,5,0.153,18641,6,0.11
B66 4ND,Live,E01010060,Sandwell 028E E01010060,3012,1,2501,1,0.291,4306,2,0.18,4313,2,4441,2,12514,4,7732,3,2050,1,4466,2,0.298,1499,1,0.42
B92 7ER,Live,E01010175,Solihull 013B E01010175,28953,9,26298,9,0.049,29842,10,0.033,31220,10,26512,9,15348,5,20082,7,17176,6,26663,9,0.054,24489,8,0.074
WS8 7QG,Live,E01010304,Walsall 002B E01010304,12613,4,13663,5,0.12,11621,4,0.106,7986,3,10487,4,23558,8,9557,3,16037,5,12326,4,0.17,18257,6,0.113
WS9 0RN,Live,E01010245,Walsall 022A E01010245,28144,9,25047,8,0.055,23669,8,0.053,26679,9,22756,7,23651,8,24723,8,20034,7,25386,8,0.061,24359,8,0.074
PR8 6JS,Live,E01006999,Sefton 008C E01006999,15282,5,12108,4,0.134,10930,4,0.111,20280,7,5644,2,25188,8,31651,10,20995,7,11581,4,0.179,14631,5,0.145
BL3 4NG,Live,E01004836,Bolton 020B E01004836,20147,7,17514,6,0.092,17871,6,0.074,25192,8,16026,5,6058,2,30448,10,21841,7,19417,6,0.1,20028,7,0.1
M45 7PH,Live,E01004986,Bury 020B E01004986,11465,4,10173,4,0.154,10096,4,0.117,19660,6,11113,4,4886,2,20182,7,11613,4,12888,4,0.163,8667,3,0.219
M12 4WB,Live,E01005232,Manchester 020C E01005232,3239,1,2546,1,0.289,4668,2,0.175,8928,3,5124,2,1301,1,5712,2,10238,4,4204,2,0.304,493,1,0.525
OL10 2AA,Live,E01005505,Rochdale 018E E01005505,6728,3,9213,3,0.165,8273,3,0.132,5207,2,5005,2,2702,1,24300,8,9084,3,10044,4,0.2,10557,4,0.192
M43 6AB,Live,E01005999,Tameside 011B E01005999,3769,2,3490,2,0.263,6023,2,0.156,7421,3,2630,1,1878,1,24091,8,4626,2,4468,2,0.298,5662,2,0.276
M34 6AF,Live,E01005975,Tameside 021D E01005975,7120,3,7089,3,0.193,7290,3,0.142,8804,3,5763,2,4341,2,21781,7,10306,4,5755,2,0.272,11644,4,0.178
WA15 8HT,Live,E01006194,Trafford 024E E01006194,25351,8,21410,7,0.07,23255,8,0.055,31587,10,24552,8,11121,4,27937,9,14115,5,25720,8,0.06,15322,5,0.138
WA3 3EL,Live,E01006340,Wigan 039B E01006340,9220,3,8652,3,0.172,6954,3,0.146,7405,3,4925,2,13948,5,22860,7,26890,9,12909,4,0.163,8072,3,0.23
S2 1SN,Live,E01008017,Sheffield 039E E01008017,370,1,526,1,0.387,506,1,0.295,1041,1,586,1,1382,1,7287,3,22909,7,526,1,0.469,1525,1,0.419
BD16 2RS,Live,E01010578,Bradford 015A E01010578,13956,5,23330,8,0.062,15034,5,0.086,25318,8,9133,3,3092,1,22870,7,3563,2,32134,10,0.017,20763,7,0.095
BD4 7QJ,Live,E01010615,Bradford 053A E01010615,5255,2,10133,4,0.154,9799,3,0.119,7102,3,6055,2,677,1,24140,8,733,1,12410,4,0.169,13341,5,0.158
HX2 9TZ,Live,E01010915,Calderdale 001D E01010915,18947,6,20390,7,0.075,16960,6,0.077,20255,7,16603,6,10619,4,25331,8,8888,3,21495,7,0.085,22207,7,0.086
HD2 2JT,Live,E01011102,Kirklees 022C E01011102,21724,7,20956,7,0.073,24800,8,0.05,27136,9,23447,8,9255,3,5089,2,25043,8,18517,6,0.108,21168,7,0.093
HD8 8NL,Live,E01011118,Kirklees 056A E01011118,27503,9,27164,9,0.046,26873,9,0.043,23098,8,27066,9,22747,7,16389,5,14322,5,29069,9,0.04,22824,7,0.083
WF1 4SF,Live,E01011911,Wakefield 020C E01011911,2549,1,2769,1,0.283,1671,1,0.237,606,1,4422,2,6899,3,23726,8,25594,8,4398,2,0.299,6544,2,0.257
NE25 9AS,Live,E01008517,North Tyneside 005A E01008517,29976,10,31428,10,0.026,28392,9,0.038,28118,9,14147,5,21603,7,24500,8,32321,10,32212,10,0.016,29988,10,0.045
NE31 2QU,Live,E01008646,South Tyneside 015D E01008646,11000,4,12576,4,0.129,8812,3,0.127,14230,5,5320,2,4818,2,19723,7,31353,10,16850,6,0.122,12418,4,0.169
NE32 5PR,Live,E01008663,South Tyneside 017E E01008663,5390,2,3681,2,0.258,2452,1,0.216,8084,3,4914,2,14927,5,17762,6,31355,10,3194,1,0.332,7106,3,0.247
BA3 4AD,Live,E01014424,Bath and North East Somerset 027A E01014424,30929,10,30022,10,0.034,25525,8,0.047,21959,7,30061,10,25288,8,23249,8,32118,10,25918,8,0.058,31377,10,0.035
BA1 9AB,Live,E01014430,Bath and North East Somerset 008D E01014430,27960,9,19017,6,0.083,24976,8,0.049,30467,10,28404,9,15914,5,24604,8,28487,9,25402,8,0.061,12476,4,0.168
BA2 8PA,Live,E01014433,Bath and North East Somerset 019C E01014433,16272,5,13053,4,0.125,11003,4,0.11,9006,3,21492,7,25287,8,13887,5,31577,10,12059,4,0.173,17700,6,0.117
BA3 2JD,Live,E01014425,Bath and North East Somerset 027B E01014425,24869,8,22868,7,0.064,16664,6,0.078,14446,5,28716,9,21992,7,26500,9,29699,10,25808,8,0.059,25973,8,0.066
BS15 1NU,Live,E01014623,Bristol 021B E01014623,11989,4,13744,5,0.12,13417,5,0.095,8547,3,14162,5,6949,3,17124,6,8041,3,16257,5,0.128,9904,4,0.201
BS14 9BU,Live,E01014614,Bristol 047F E01014614,16919,6,24322,8,0.058,17142,6,0.076,10792,4,16772,6,3260,1,21551,7,18323,6,23428,8,0.073,25795,8,0.067
BS48 3BX,Live,E01014737,North Somerset 011A E01014737,32773,10,31135,10,0.028,30346,10,0.031,31686,10,30997,10,28585,9,31776,10,29072,9,29015,9,0.04,32272,10,0.027
TS5 4YU,Live,E01012041,Middlesbrough 003F E01012041,51,1,3,1,0.578,14,1,0.442,1134,1,27,1,418,1,19195,6,20656,7,216,1,0.523,36,1,0.731
YO16 4QU,Live,E01012949,East Riding of Yorkshire 003E E01012949,3160,1,2787,1,0.283,2077,1,0.225,6301,2,3269,1,4855,2,15457,5,14344,5,3344,2,0.327,4425,2,0.306
HU14 3HS,Live,E01013092,East Riding of Yorkshire 032F E01013092,30870,10,30219,10,0.033,28604,9,0.038,29767,10,29844,10,29296,9,12926,4,23423,8,32315,10,0.015,25570,8,0.068
DN36 4TF,Live,E01013169,North East Lincolnshire 020E E01013169,15495,5,12717,4,0.128,16558,6,0.079,12573,4,8191,3,26967,9,12141,4,22359,7,18426,6,0.108,10089,4,0.198
DN18 6AE,Live,E01013258,North Lincolnshire 001E E01013258,9877,4,7811,3,0.183,6541,2,0.15,5968,2,11938,4,14289,5,29357,9,20178,7,10734,4,0.19,10097,4,0.198
DN20 8BA,Live,E01013271,North Lincolnshire 011D E01013271,13249,5,11422,4,0.14,9556,3,0.121,7913,3,10212,4,17544,6,29486,9,26868,9,12452,4,0.168,10930,4,0.187
BD20 7RL,Live,E01027565,Craven 008C E01027565,30629,10,30636,10,0.031,26488,9,0.045,23128,8,27664,9,29829,10,29431,9,16977,6,31832,10,0.021,26065,8,0.066
YO32 4BZ,Live,E01013407,York 004B E01013407,25530,8,22687,7,0.065,18582,6,0.071,27688,9,17973,6,22499,7,29184,9,20299,7,25932,8,0.058,26527,9,0.063
LU3 3AL,Live,E01015803,Luton 002B E01015803,22043,7,22738,7,0.064,24596,8,0.05,10586,4,20289,7,21171,7,13376,5,19974,7,16245,5,0.128,28514,9,0.053
MK44 1JL,Live,E01017545,Bedford 001D E01017545,21302,7,27919,9,0.043,28341,9,0.038,28632,9,29170,9,26307,9,1578,1,4864,2,24417,8,0.067,29531,9,0.048
SL7 1JE,Live,E01017889,Wycombe 022A E01017889,21052,7,13815,5,0.119,23302,8,0.054,15814,5,25832,8,20119,7,9147,3,29779,10,11650,4,0.178,17310,6,0.12
DE4 5NA,Live,E01019628,Derbyshire Dales 005F E01019628,20712,7,18140,6,0.088,11399,4,0.107,21037,7,19836,7,26399,9,17469,6,28896,9,13889,5,0.152,27051,9,0.061
SP8 4QP,Live,E01020443,North Dorset 001A E01020443,14795,5,12483,4,0.13,10806,4,0.112,9201,3,12303,4,19316,6,20767,7,31518,10,13526,5,0.156,15517,5,0.136
BH16 6JD,Live,E01020474,Purbeck 002D E01020474,24062,8,22694,7,0.065,23774,8,0.053,24019,8,26390,9,16002,5,8468,3,21658,7,19064,6,0.103,27582,9,0.058
BH23 1JF,Live,E01020367,Christchurch 006D E01020367,27253,9,21900,7,0.068,25595,8,0.047,25401,8,29582,10,12094,4,26314,9,21964,7,20930,7,0.089,22767,7,0.083
BH15 3HY,Live,E01015449,Poole 011C E01015449,9196,3,8066,3,0.18,8047,3,0.134,5468,2,12493,4,18593,6,11174,4,13880,5,6298,2,0.261,8103,3,0.229
BH8 9UJ,Live,E01015339,Bournemouth 008B E01015339,12378,4,10090,4,0.154,12104,4,0.103,11308,4,14525,5,14510,5,9787,3,15714,5,9443,3,0.209,11719,4,0.177
SR8 1NX,Live,E01020779,Easington 010E E01020779,26953,9,30507,10,0.032,21481,7,0.06,28369,9,18351,6,29636,10,7410,3,32518,10,28074,9,0.046,28538,9,0.053
DH3 3QA,Live,E01020595,Chester-le-Street 005B E01020595,24802,8,25526,8,0.053,18190,6,0.072,29998,10,12879,4,13955,5,26754,9,30858,10,28208,9,0.045,26270,8,0.065
SR7 0EN,Terminated,E01033202,County Durham 016G E01033202,14751,5,12191,4,0.133,10169,4,0.116,17526,6,5991,2,17307,6,30465,10,31363,10,13446,5,0.156,12195,4,0.171
BN22 9RQ,Live,E01020921,Eastbourne 004B E01020921,11585,4,10737,4,0.147,9186,3,0.124,11854,4,9812,3,7977,3,22015,7,19730,7,9179,3,0.213,17783,6,0.117
TN32 5EA,Live,E01021132,Rother 001A E01021132,27632,9,23850,8,0.059,25042,8,0.049,25017,8,27358,9,30747,10,14888,5,17325,6,24117,8,0.069,26384,9,0.064
TN22 3DJ,Live,E01021223,Wealden 009C E01021223,26763,9,25053,8,0.055,22334,7,0.057,20811,7,24535,8,23302,8,15601,5,28124,9,25159,8,0.063,22306,7,0.086
TN5 6AZ,Live,E01021230,Wealden 005D E01021230,24709,8,30878,10,0.03,32471,10,0.017,30700,10,31884,10,29046,9,3168,1,4344,2,29883,10,0.035,29742,10,0.046
BN20 9QX,Live,E01021236,Wealden 021E E01021236,17104,6,14033,5,0.117,9514,3,0.121,13466,5,20880,7,19277,6,22587,7,28334,9,14812,5,0.142,18960,6,0.108
BN3 7BW,Live,E01016985,Brighton and Hove 007E E01016985,27852,9,22727,7,0.064,21577,7,0.06,28168,9,25110,8,27028,9,23471,8,20992,7,25972,8,0.058,15580,5,0.135
BN3 7BN,Live,E01016979,Brighton and Hove 016A E01016979,25173,8,21333,7,0.071,22419,7,0.057,27181,9,26488,9,24483,8,18586,6,11079,4,21594,7,0.085,20065,7,0.1
BN1 6NP,Live,E01017001,Brighton and Hove 004C E01017001,31105,10,31114,10,0.028,32071,10,0.022,32542,10,29301,9,18797,6,13541,5,24800,8,32153,10,0.017,26730,9,0.062
SO45 4RQ,Live,E01023009,New Forest 009B E01023009,28303,9,29688,10,0.035,31181,10,0.027,23586,8,28677,9,27077,9,4873,2,26242,8,25662,8,0.06,29933,10,0.045
GU30 7NY,Live,E01022587,East Hampshire 009E E01022587,29066,9,23007,8,0.063,28868,9,0.037,23287,8,28598,9,15235,5,29620,10,25286,8,20430,7,0.093,25063,8,0.071
GU51 5JA,Live,E01022873,Hart 008D E01022873,30146,10,24770,8,0.056,25317,8,0.048,30344,10,32474,10,28407,9,13223,5,31101,10,25712,8,0.06,23763,8,0.078
GU52 7RY,Live,E01022863,Hart 007B E01022863,32829,10,32646,10,0.014,30797,10,0.029,31176,10,31513,10,30077,10,31817,10,29834,10,32725,10,0.008,32651,10,0.02
GU46 6AG,Live,E01022891,Hart 001B E01022891,30302,10,29304,9,0.037,29364,9,0.035,26398,9,32293,10,16997,6,20439,7,20803,7,25817,8,0.059,29363,9,0.048
SP10 3RH,Live,E01023183,Test Valley 004B E01023183,19653,6,22115,7,0.067,14872,5,0.087,13510,5,23648,8,20125,7,7427,3,26813,9,24197,8,0.068,25151,8,0.07
SO22 6JJ,Live,E01023240,Winchester 003A E01023240,30884,10,28078,9,0.042,24602,8,0.05,26975,9,31214,10,30564,10,17749,6,30627,10,29113,9,0.04,29765,10,0.046
SO45 4ZF,Live,E01023009,New Forest 009B E01023009,28303,9,29688,10,0.035,31181,10,0.027,23586,8,28677,9,27077,9,4873,2,26242,8,25662,8,0.06,29933,10,0.045
PO7 7BW,Live,E01022960,Havant 007A E01022960,16443,6,14866,5,0.111,16950,6,0.077,7152,3,11697,4,20217,7,24306,8,21753,7,11959,4,0.174,15186,5,0.139
SO24 9BS,Live,E01023278,Winchester 004B E01023278,30703,10,25093,8,0.054,24222,8,0.051,26906,9,28765,9,30812,10,24299,8,31440,10,23752,8,0.071,28299,9,0.054
SO20 6HA,Live,E01023167,Test Valley 009B E01023167,22641,7,26672,9,0.048,29162,9,0.036,26789,9,30599,10,20138,7,4463,2,4790,2,23977,8,0.07,28112,9,0.055
GU14 6BH,Live,E01023136,Rushmoor 007C E01023136,28933,9,26589,9,0.048,30170,10,0.032,21809,7,24773,8,25818,8,20157,7,17832,6,26872,9,0.053,9929,4,0.201
SO30 4EJ,Live,E01022700,Eastleigh 011C E01022700,17859,6,13001,4,0.126,13632,5,0.094,13178,5,19050,6,25504,8,18371,6,23074,8,15035,5,0.139,10988,4,0.187
LE4 0FL,Live,E01013623,Leicester 004E E01013623,13677,5,13973,5,0.118,14213,5,0.09,15019,5,15383,5,2872,1,15456,5,20113,7,15894,5,0.131,14807,5,0.143
LE3 1AH,Live,E01013641,Leicester 028E E01013641,8586,3,11055,4,0.144,13532,5,0.094,6870,3,11058,4,3857,2,26660,9,1588,1,9311,3,0.212,6401,2,0.26
LE15 9TJ,Live,E01013806,Rutland 005D E01013806,30565,10,28650,9,0.04,28159,9,0.039,17861,6,31291,10,30970,10,26184,8,22032,7,29890,10,0.035,23947,8,0.076
ST6 4LD,Live,E01014356,Stoke-on-Trent 005C E01014356,5233,2,5317,2,0.224,5112,2,0.168,6596,3,4548,2,3443,2,22557,7,10281,4,7369,3,0.242,9045,3,0.214
SN14 6RJ,Live,E01031919,North Wiltshire 009E E01031919,31219,10,27264,9,0.045,24826,8,0.05,28421,9,31369,10,29285,9,23165,8,27702,9,25098,8,0.063,30815,10,0.04
BA15 1DZ,Live,E01032047,West Wiltshire 005C E01032047,28694,9,22580,7,0.065,18380,6,0.071,30931,10,25759,8,30092,10,25519,8,30369,10,23365,8,0.073,27791,9,0.057
SN14 6HJ,Live,E01031919,North Wiltshire 009E E01031919,31219,10,27264,9,0.045,24826,8,0.05,28421,9,31369,10,29285,9,23165,8,27702,9,25098,8,0.063,30815,10,0.04
BA12 9DR,Live,E01032105,West Wiltshire 015B E01032105,28952,9,27618,9,0.044,20916,7,0.062,24914,8,25023,8,20679,7,26925,9,30215,10,29188,9,0.039,29003,9,0.051
SN4 9DJ,Live,E01015584,Swindon 025B E01015584,23285,8,21793,7,0.069,21271,7,0.061,17698,6,10908,4,23659,8,24716,8,29543,9,21607,7,0.085,21869,7,0.088
RG20 6NU,Live,E01016286,West Berkshire 001B E01016286,27382,9,24942,8,0.055,27343,9,0.042,23193,8,27333,9,27098,9,26639,9,8060,3,22215,7,0.081,29945,10,0.045
RG30 3EP,Live,E01016419,Reading 015A E01016419,13585,5,13692,5,0.12,15082,5,0.086,17305,6,14376,5,10729,4,4467,2,14862,5,18690,6,0.106,7842,3,0.234
SL3 7EF,Live,E01016505,Slough 012F E01016505,9422,3,10997,4,0.145,12115,4,0.103,11316,4,7966,3,10867,4,2486,1,14786,5,14072,5,0.15,8338,3,0.225
SG8 5NJ,Live,E01018228,South Cambridgeshire 019C E01018228,25012,8,27024,9,0.046,27726,9,0.041,28999,9,29003,9,17298,6,10575,4,6815,3,25704,8,0.06,28165,9,0.055
CB23 7DU,Live,E01018231,South Cambridgeshire 010A E01018231,27462,9,30524,10,0.031,31678,10,0.025,31265,10,31476,10,21899,7,3310,2,17624,6,29903,10,0.035,28991,9,0.051
PE1 2UE,Live,E01015655,Peterborough 014E E01015655,14158,5,15835,5,0.103,19582,6,0.067,15880,5,15522,5,3299,2,17700,6,6350,2,14440,5,0.146,14519,5,0.146
EX15 1DX,Live,E01020055,Mid Devon 007B E01020055,13938,5,12617,4,0.129,10767,4,0.112,5738,2,17267,6,23905,8,28476,9,13601,5,13538,5,0.156,13555,5,0.156
PL9 9AZ,Live,E01015134,Plymouth 032D E01015134,24541,8,25979,8,0.051,19464,6,0.067,21885,7,12336,4,24511,8,27178,9,21380,7,29338,9,0.038,24047,8,0.076
CM2 9RZ,Live,E01033145,Chelmsford 014G E01033145,20213,7,14230,5,0.116,15956,5,0.082,20875,7,25262,8,17761,6,12134,4,28849,9,11481,4,0.181,19648,6,0.103
CM0 8QB,Live,E01033057,Maldon 008G E01033057,21734,7,18675,6,0.085,16385,5,0.08,14732,5,27588,9,20096,7,13931,5,30243,10,19497,6,0.1,20373,7,0.098
CM18 6AA,Live,E01021870,Harlow 006E E01021870,11353,4,10440,4,0.151,10886,4,0.111,7767,3,10580,4,8590,3,13330,5,29621,10,8834,3,0.219,14369,5,0.148
